English,Hindi,Word Count (English),Word Count (Hindi),Difference,Model_Translation
Interface implemented by the plugin,प्लगिन के द्वारा लागू अंतरफलक,5,5,0,प्लगिन के द्वारा लागू अंतरफलक
Please report this bug to the developers.,डेवलेपर को इस बग को रिपोर्ट करें. ,7,7,0,डेवलेपर को इस बग को रिपोर्ट करें.
Move ~ a onto the foundation.,आधार पर एक पत्ता ले जाएँ,6,6,0,~a को एक आधार पर ले जाएँ.
Allows viewing of various interface properties,अंतराफलक के विभिन्न गुणों को देखने देता है,6,8,-2,अंतराफलक के विभिन्न गुणों को देखने देता है
Place the four of spades next to the three of spades.,हुकुम की दुक्का के बगल में हुकुम के तिक्की को रखें. ,11,11,0,हुकुम की दुक्का के बगल में हुकुम के तिक्की को रखें.
A list of plugins that are disabled by default.,उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है,9,12,-3,उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है
"focusable% s has a table interface, but not a selection interface","फोकस योग्य% s में सारणी अंतराफलक है, लेकिन कोई चयनीय अंतराफलक नहीं हैbutton has focused state without focusable state",11,19,-8,"फोकस योग्य %s में सारणी अंतराफलक है, लेकिन कोई चयनीय अंतराफलक नहीं हैbutton has focused state without focusable state"
Move waste on to a reserve slot,सुरक्षित खाँचा पर बेकार को ले जाएँ,7,7,0,सुरक्षित खाँचा पर बेकार को ले जाएँ
Place the queen of hearts next to the jack of hearts.,लाल पान की बेगम के बगल में लाल पान के गुलाम को रखें. ,11,13,-2,लाल पान की बेगम के बगल में लाल पान के गुलाम को रखें.
Select whether to drag the cards or to click on the source then the destination.,चुनें कि कार्ड खींचना है या गंतव्य के बजाय श्रोत पर क्लिक करना है. ,15,14,1,चुनें कि कार्ड खींचना है या गंतव्य के बजाय श्रोत पर क्लिक करना है.
Are you sure you want to delete the '% s' tool?,कया आप सचमुच लागाउट करना चाहेंगे? ,11,6,5,को मिटाएं से.?
"A list of strings that come in the form of a quintuple: name, wins, total games played, best time (in seconds) and worst time (also in seconds). Unplayed games do not need to be represented.","स्ट्रिंग की सूची जो पांच गुने रूप में आता हैः name, wins, total games played, best time (सेकेंड में) और worst time (सेकेंड में ही). नहीं खेला गया खेल दिखाया नहीं जा सकता. ",35,33,2,"स्ट्रिंग की सूची जो पांच गुने रूप में आता है: name, wins, total games played, best time (सेकेंड में) और worst time (सेकेंड में ही). नहीं खेला गया खेल दिखाया नहीं जा सकता."
Place the three of diamonds next to the two of diamonds.,ईंट का तिक्की के बगल में ईंट का दुक्का को रखें. ,11,11,0,ईंट का तिक्की के बगल में ईंट का दुक्का को रखें.
